Datum,CDU,SPD,Gruene,FDP,Linke,AfD,Sonstige,Nichtwaehler,Befragte,Zeitraum
17.02.16,0.35,0.23,0.11,0.06,0.1,0.09,0.06,35%,2.501,08.02._12.02.
10.02.16,0.36,0.24,0.1,0.05,0.09,0.1,0.06,35%,2.5,01.02._05.02.
03.02.16,0.36,0.24,0.1,0.05,0.09,0.1,0.06,34%,2.501,25.01._29.01.
27.01.16,0.36,0.24,0.1,0.05,0.1,0.1,0.05,36%,2.505,18.01._22.01.
19.01.16,0.37,0.23,0.1,0.05,0.09,0.1,0.06,36%,2.501,11.01._15.01.
13.01.16,0.38,0.23,0.1,0.05,0.1,0.09,0.05,35%,2.503,04.01._08.01.
06.01.16,0.38,0.23,0.1,0.05,0.1,0.08,0.06,32%,1.503,28.12._30.12.
29.12.15,0.38,0.23,0.1,0.05,0.1,0.08,0.06,33%,1.501,21.12._23.12.
22.12.15,0.39,0.24,0.1,0.04,0.1,0.08,0.05,34%,2.504,14.12._18.12.
15.12.15,0.39,0.24,0.11,0.04,0.09,0.08,0.05,35%,2.502,07.12._11.12.
09.12.15,0.38,0.24,0.1,0.04,0.09,0.08,0.07,36%,2.506,30.11._04.12.
02.12.15,0.39,0.24,0.1,0.05,0.09,0.06,0.07,33%,2.501,23.11._27.11.
25.11.15,0.39,0.24,0.1,0.05,0.09,0.07,0.06,33%,2.502,16.11._22.11.
17.11.15,0.36,0.25,0.1,0.05,0.09,0.08,0.07,32%,2.504,09.11._13.11.
11.11.15,0.38,0.25,0.1,0.05,0.08,0.07,0.07,32%,2.503,02.11._06.11.
04.11.15,0.36,0.24,0.11,0.05,0.09,0.07,0.08,34%,2.504,26.10._30.10.
28.10.15,0.36,0.24,0.11,0.06,0.09,0.06,0.08,34%,2.501,19.10._23.10.
21.10.15,0.38,0.24,0.11,0.04,0.1,0.07,0.06,34%,2.502,12.10._16.10.
14.10.15,0.38,0.25,0.1,0.05,0.09,0.07,0.06,34%,2.502,05.10._09.10.
07.10.15,0.39,0.25,0.09,0.05,0.09,0.07,0.06,33%,2.505,28.09._02.10.
30.09.15,0.4,0.24,0.1,0.05,0.1,0.05,0.06,32%,2.506,21.09._25.09.
23.09.15,0.4,0.24,0.1,0.05,0.1,0.04,0.07,29%,2.501,14.09._18.09.
16.09.15,0.41,0.24,0.1,0.04,0.1,0.04,0.07,29%,2.501,07.09._11.09.
09.09.15,0.41,0.24,0.1,0.04,0.1,0.04,0.07,30%,2.503,31.08._04.09.
02.09.15,0.4,0.24,0.11,0.05,0.11,0.03,0.06,30%,2.504,24.08._28.08.
26.08.15,0.41,0.23,0.1,0.04,0.11,0.04,0.07,30%,2.5,17.08._21.08.
19.08.15,0.43,0.23,0.1,0.04,0.1,0.03,0.07,30%,2.5,10.08._14.08.
12.08.15,0.43,0.23,0.1,0.05,0.09,0.03,0.07,30%,2.5,03.08._07.08.
05.08.15,0.41,0.24,0.1,0.05,0.09,0.03,0.08,29%,2.501,27.07._31.07.
29.07.15,0.42,0.23,0.1,0.04,0.1,0.03,0.08,_,2.501,20.07._24.07.
22.07.15,0.41,0.24,0.1,0.05,0.1,0.04,0.06,28%,2.501,13.07._17.07.
14.07.15,0.42,0.23,0.11,0.04,0.1,0.04,0.06,28%,2.503,06.07._10.07.
08.07.15,0.42,0.23,0.11,0.05,0.1,0.04,0.05,27%,2.502,29.06._03.07.
01.07.15,0.42,0.23,0.1,0.05,0.1,0.04,0.06,29%,2.505,22.06._26.06.
24.06.15,0.41,0.23,0.1,0.05,0.1,0.04,0.07,28%,2.501,15.06._19.06.
17.06.15,0.41,0.23,0.11,0.05,0.09,0.05,0.06,29%,2.502,08.06._12.06.
10.06.15,0.41,0.24,0.1,0.06,0.09,0.04,0.06,27%,2.504,01.06._05.06.
02.06.15,0.4,0.23,0.1,0.06,0.1,0.05,0.06,27%,2.502,26.05._29.05.
27.05.15,0.39,0.23,0.11,0.07,0.09,0.04,0.07,29%,2.503,18.05._22.05.
20.05.15,0.4,0.22,0.11,0.06,0.09,0.05,0.07,28%,2.003,11.05._15.05.
12.05.15,0.41,0.23,0.12,0.04,0.09,0.05,0.06,29%,2.502,04.05._08.05.
06.05.15,0.42,0.24,0.1,0.04,0.09,0.04,0.07,30%,2.001,27.04._30.04.
29.04.15,0.42,0.24,0.1,0.04,0.09,0.04,0.07,29%,2.506,20.04._24.04.
22.04.15,0.42,0.24,0.1,0.04,0.08,0.06,0.06,28%,2.502,13.04._17.04.
15.04.15,0.42,0.24,0.1,0.05,0.08,0.05,0.06,29%,2.004,07.04._10.04.
08.04.15,0.42,0.23,0.1,0.04,0.09,0.06,0.06,28%,2.001,30.03._02.04.
31.03.15,0.42,0.23,0.1,0.04,0.09,0.06,0.06,29%,2.505,23.03._27.03.
25.03.15,0.41,0.24,0.1,0.05,0.08,0.05,0.07,28%,2.501,16.03._20.03.
18.03.15,0.41,0.24,0.09,0.05,0.09,0.06,0.06,28%,2.5,09.03._13.03.
11.03.15,0.41,0.24,0.09,0.05,0.09,0.06,0.06,30%,2.504,02.03._06.03.
04.03.15,0.41,0.24,0.09,0.05,0.09,0.07,0.05,29%,2.502,23.02._27.02.
25.02.15,0.42,0.24,0.09,0.05,0.09,0.06,0.05,28%,2.501,16.02._20.02.
18.02.15,0.43,0.23,0.1,0.05,0.08,0.05,0.06,29%,2.502,09.02._13.02.
11.02.15,0.42,0.23,0.1,0.05,0.09,0.06,0.05,29%,2.503,02.02._06.02.
04.02.15,0.42,0.23,0.1,0.04,0.1,0.05,0.06,30%,2.51,26.01._30.01.
28.01.15,0.42,0.23,0.1,0.03,0.09,0.06,0.07,29%,2.015,19.01._23.01.
21.01.15,0.42,0.22,0.1,0.03,0.1,0.06,0.07,28%,2.502,12.01._16.01.
14.01.15,0.42,0.22,0.1,0.04,0.1,0.06,0.06,28%,2.504,05.01._09.01.
07.01.15,0.42,0.22,0.11,0.03,0.1,0.05,0.07,29%,1.002,02.01._05.01.
01.01.15,0.42,0.23,0.1,0.02,0.11,0.05,0.07,30%,2.504,15.12._19.12.
16.12.14,0.43,0.23,0.1,0.02,0.1,0.05,0.07,29%,2.504,08.12._12.12.
10.12.14,0.41,0.24,0.11,0.02,0.09,0.06,0.07,29%,2.503,01.12._05.12.
03.12.14,0.41,0.24,0.11,0.02,0.09,0.06,0.07,29%,2.502,24.11._28.11.
26.11.14,0.42,0.23,0.1,0.02,0.1,0.06,0.07,29%,2.501,17.11._21.11.
19.11.14,0.42,0.22,0.1,0.03,0.09,0.07,0.07,28%,2.501,10.11._14.11.
12.11.14,0.41,0.23,0.09,0.03,0.1,0.08,0.06,29%,2.502,03.11._07.11.
05.11.14,0.41,0.22,0.1,0.03,0.09,0.08,0.07,28%,2.504,27.10._31.10.
29.10.14,0.41,0.23,0.1,0.02,0.09,0.08,0.07,28%,2.504,20.10._24.10.
22.10.14,0.41,0.24,0.09,0.02,0.09,0.08,0.07,27%,2.504,13.10._17.10.
15.10.14,0.4,0.23,0.1,0.03,0.09,0.08,0.07,28%,2.505,06.10._10.10.
07.10.14,0.41,0.23,0.1,0.02,0.09,0.08,0.07,28%,2.004,29.09._02.10.
01.10.14,0.42,0.23,0.09,0.02,0.08,0.09,0.07,27%,2.501,22.09._26.09.
23.09.14,0.42,0.22,0.08,0.02,0.09,0.1,0.07,28%,2.501,15.09._19.09.
17.09.14,0.41,0.24,0.09,0.03,0.09,0.07,0.07,25%,2.503,08.09._12.09.
10.09.14,0.42,0.23,0.09,0.03,0.09,0.07,0.07,26%,2.502,01.09._05.09.
03.09.14,0.41,0.24,0.1,0.03,0.1,0.05,0.07,27%,2.504,25.08._29.08.
27.08.14,0.42,0.24,0.1,0.03,0.09,0.05,0.07,26%,2.504,18.08._22.08.
20.08.14,0.42,0.24,0.1,0.03,0.09,0.05,0.07,27%,2.502,11.08._15.08.
13.08.14,0.42,0.24,0.1,0.04,0.09,0.05,0.06,26%,2.5,04.08._08.08.
06.08.14,0.43,0.24,0.09,0.04,0.09,0.05,0.06,27%,2.501,28.07._01.08.
30.07.14,0.43,0.22,0.1,0.03,0.1,0.05,0.07,27%,2.501,21.07._25.07.
23.07.14,0.43,0.22,0.1,0.03,0.1,0.05,0.07,25%,2.505,14.07._18.07.
16.07.14,0.41,0.23,0.11,0.03,0.09,0.06,0.07,25%,2.503,07.07._11.07.
09.07.14,0.41,0.23,0.11,0.03,0.09,0.06,0.07,26%,2.014,30.06._04.07.
02.07.14,0.41,0.23,0.1,0.04,0.09,0.07,0.06,25%,2.502,23.06._27.06.
25.06.14,0.41,0.23,0.1,0.04,0.09,0.07,0.06,26%,2.504,16.06._20.06.
17.06.14,0.39,0.23,0.1,0.04,0.1,0.07,0.07,26%,2.001,10.06._13.06.
11.06.14,0.39,0.23,0.09,0.04,0.1,0.08,0.07,26%,2.501,02.06._06.06.
04.06.14,0.38,0.23,0.1,0.04,0.1,0.08,0.07,28%,2.002,26.05._30.05.
27.05.14,0.4,0.25,0.1,0.04,0.1,0.06,0.05,_,2.503,19.05._23.05.
21.05.14,0.4,0.24,0.1,0.04,0.1,0.06,0.06,32%,2.501,12.05._16.05.
